5860E               = Coolpad Quattro 4G
SGH-T999            = Samsung Galaxy S III
SGH-T999V           = Samsung Galaxy S III
SHV-E210S           = Samsung Galaxy S III
SM-N9005            = Samsung Galaxy Note 3
SM-N900P            = Samsung Galaxy Note 3
SM-N900T            = Samsung Galaxy Note 3
SM-N900V            = Samsung Galaxy Note 3
SM-N900W8           = Samsung Galaxy Note 3
SM-T210R            = Samsung Galaxy Tab 3 7.0
SM-T310             = Samsung Galaxy Tab 3 8.0
SPH-D600            = Samsung Conquer 4G
SPH-D700            = Samsung Epic 4G
SPH-D710BST         = Samsung Galaxy S II
SPH-D710            = Samsung Epic
SPH-D710VMUB        = Samsung Galaxy S II
SPH-L300            = Samsung Galaxy Victory
SPH-L710            = Samsung Galaxy S III
SPH-L720            = Samsung Galaxy S4
SPH-L900            = Samsung Galaxy Note II
SPH-M820-BST        = Samsung Galaxy Prevail
SPH-M830            = Samsung Galaxy Rush
SPH-M930BST         = Samsung Transform Ultra
ST25i               = Sony Xperia U
T-Mobile_G2         = 
T-Mobile_myTouch_Q  = 
Transformer_Prime_TF201= Asus Eee Pad Transformer Prime
Transformer_TF101   = Asus Eee Pad Transformer
VM670               = LG Optimus V
VS840_4G            = LG Lucid 4G
VS910_4G            = LG Revolution 4G
VS920_4G            = LG Spectrum 4G
VS980_4G            = LG G2
Xoom                = Motorola Xoom
XT1030              = Motorola Droid Mini
XT1032              = Motorola Moto G
XT1058              = Motorola Moto X
XT1060              = Motorola Moto X
XT1080              = Motorola Droid Ultra
XT897               = Motorola Photo Q
XT907               = Motorola Droid Razr M
